hostingPlatform,gameVersion,sessionId,eventType,subversion,sceneName,description,index,timestamp,elapsedTime,gameState_helpedToday,gameState_totalFlagged,gameState_correctToday,gameState_flaggedToday,gameState_totalReported,gameState_totalHelped,gameState_reportedToday,gameState_totalCorrect
itch,0.1,bddfeebe-f6c8-4836-a7ca-edecf330bae0,item_clicked,A,Scene1_Day1_V2,4_SExamGuide (I),0,2026-02-22 23:49:26.856000+00:00,0,0,0,3,0,0,0,0,3
itch,0.1,4f717f94-1607-4cbd-83e6-b33049a1d003,item_clicked,A,Scene1_Day1_V2,1_SExamGuide (I),0,2026-02-23 06:40:56.569000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,550d6cf8-508e-4c39-ad95-fbeb47770794,item_clicked,A,Scene1_Day1_V2,2_SReviewFolder (I),0,2026-02-22 21:09:28.277000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,2c6da7fd-cac4-4343-b1d6-1c629f174b61,item_clicked,A,Scene1_Day1_V2,1_SStudentID (I),0,2026-02-25 06:59:47.026000+00:00,0,0,0,0,0,0,0,0,0
itch,0.1,f4705d45-e1e9-4cbc-8490-58c59554e625,credits_page_entered,A,Scene0_Title,,0,2026-02-23 05:33:22.495000+00:00,0,1,0,4,0,0,1,0,4
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,scene_entered,A,Scene1_Day1_V2,,0,2026-02-24 00:57:06.150000+00:00,0,2,2,10,2,1,2,1,10
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,item_clicked,A,Scene1_Day1_V2,5_SReviewFolder (I),0,2026-02-23 20:54:00.410000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student4 (I),0,2026-02-24 00:58:57.567000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,b0fef513-8750-49dc-a762-f8a966f8ae6b,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student4 (I),0,2026-02-23 02:25:45.048000+00:00,0,0,0,4,0,0,0,0,4
itch,0.1,7d665d5a-533e-4fe1-bfbe-a6874b0d2893,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student1 (I),0,2026-02-23 20:50:08.933000+00:00,0,0,0,1,0,0,0,0,1
itch,0.1,a7e25c67-841c-43e8-97ef-c6031744b236,report_incorrect,A,Scene2_Day1_V2,Row1Student1 (A),0,2026-02-22 21:10:14.170000+00:00,21.100040435791016,0,1,4,1,0,0,0,4
itch,0.1,8e3630c6-8f02-4642-bcc5-a97dde5f9414,scroll_clicked,A,Scene2_Day1_V2,Email_P2 (I),0,2026-02-24 00:59:59.739000+00:00,0,0,0,5,0,0,0,0,5
itch,0.1,0c2c7595-a3fd-4ba1-878b-b824c8356466,scene_entered,A,Scene0_Title,,0,2026-02-23 04:40:44.737000+00:00,0,1,2,5,2,0,1,0,5
itch,0.1,816bdc07-4f07-4027-88bb-f2993b8a5981,admission_decision_correct,A,Scene1_Day1_V2,Admitted student Student2 (I),0,2026-02-24 07:00:09.519000+00:00,0,0,0,2,0,0,0,0,2
itch,0.1,8bb9b4ff-567e-4a4f-acd1-3bcf7820495f,item_clicked,A,Scene1_Day1_V2,3_SExamGuide (I),0,2026-02-24 00:45:08.548000+00:00,0,0,0,2,0,0,0,0,2
