subversion,studentName,index,elapsedTime,eventType,host,description,timestamp,isCorrect,gameVersion,sceneName,sessionId,gameState_correctToday,gameState_reportedToday,gameState_totalCorrect,gameState_helpedToday,gameState_totalHelped,gameState_flaggedToday,gameState_totalFlagged,gameState_totalReported
B,,0,0,item_clicked,html-classic.itch.zone,5_SExternalTicket (I),2026-03-08 05:48:56.716000+00:00,False,0.3,Scene1_Day2,c1a1e910-0c77-4573-9510-2c809c1430ea,4,0,8,0,1,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,4_SStudentID (I),2026-03-06 22:22:17.825000+00:00,False,0.3,Scene1_Day1_V2,0de9d895-4559-46f7-8afc-08052516e05d,3,0,3,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,5_SStudentID (I),2026-03-07 01:21:11.886000+00:00,False,0.3,Scene1_Day1_V2,46d6aa07-d866-4d83-bb2a-7c86f2630314,3,0,3,0,0,0,0,0
A,,0,0,scene_entered,html-classic.itch.zone,,2026-03-07 03:49:53.591000+00:00,False,0.3,Scene2_Day1_V2,49e58e02-2a63-497a-80ba-cbb461b26a6b,4,0,4,0,0,0,0,0
,,0,0,session_start,html-classic.itch.zone,,2026-03-06 22:49:19.209000+00:00,False,0.3,Scene0_Title,,0,0,0,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,1_SAccommodations (I),2026-03-07 05:20:43.011000+00:00,False,0.3,Scene1_Day3,e26ff24d-e62c-4cc9-8f45-53ba72247a33,0,0,8,0,2,0,4,2
A,,0,0,item_clicked,html-classic.itch.zone,S_ExamGuide (I),2026-03-07 23:28:08.357000+00:00,False,0.3,Scene1_Day1_V2,fd9512b1-1b1f-4361-8992-08865b14b432,1,0,1,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,5_SReviewFolder (I),2026-03-07 03:32:38.431000+00:00,False,0.3,Scene1_Day1_V2,be447527-0472-49d4-a49e-aec17e42f4e7,4,0,4,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,2_SExamTicket (I),2026-03-07 07:56:45.914000+00:00,False,0.3,Scene1_Day1_V2,c210de66-fa2d-47df-9819-410a28530146,1,0,1,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,3_SReviewFolder (I),2026-03-07 22:38:47.703000+00:00,False,0.3,Scene1_Day1_V2,121b0258-ed14-4d20-91aa-72c990a4ae10,2,0,2,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,1_SExamTicket (I),2026-03-07 00:40:02.155000+00:00,False,0.3,Scene1_Day1_V2,9ebe5df9-fa7a-467d-9af5-3076227c2319,0,0,0,0,0,0,0,0
A,,0,0,item_clicked,serve.gamejolt.net,5_IncorrectIcon (I),2026-03-06 23:13:48.972000+00:00,False,0.3,Scene1_Day1_V2,13c0858e-e858-4dd9-94b8-f4721a5d45d1,3,0,3,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,4_SStudentID (I),2026-03-06 23:28:24.458000+00:00,False,0.3,Scene1_Day2,b4b2835f-6960-4183-ab27-453c6d249f9b,2,0,5,0,1,0,1,0
A,,0,0,item_clicked,html-classic.itch.zone,1_SMaterials (I),2026-03-08 05:29:40.668000+00:00,False,0.3,Scene1_Day3,ebf15c4b-d76d-4171-9d1a-ba889be66c35,0,0,8,0,2,0,3,1
A,Student1 (I),0,0,admission_decision,html-classic.itch.zone,Denied,2026-03-06 21:30:22.136000+00:00,True,0.3,Scene1_Day2,0de9d895-4559-46f7-8afc-08052516e05d,1,0,6,0,1,0,1,1
A,,0,0,item_clicked,html-classic.itch.zone,S_ExamGuide (I),2026-03-07 04:34:50.033000+00:00,False,0.3,Scene1_Day2,274bae92-a49b-4694-b68c-6798d56a6817,3,0,7,0,1,0,0,0
,,0,0,session_start,html-classic.itch.zone,,2026-03-07 07:37:57.208000+00:00,False,0.3,Scene0_Title,,0,0,0,0,0,0,0,0
A,Row1Student1 (A),0,14.034026145935059,bad_behavior_missed,html-classic.itch.zone,,2026-03-06 21:38:50.067000+00:00,False,0.3,Scene2_Day1_V2,f2bc79c6-8424-4b96-9d86-247aa88e5e74,4,0,4,0,0,0,0,0
B,,0,0,item_clicked,html-classic.itch.zone,3_SReviewFolder (I),2026-03-07 00:10:02.836000+00:00,False,0.3,Scene1_Day1_V2,7d18fd96-27e2-41fc-9ed1-232e3b2851b5,2,0,2,0,0,0,0,0
A,Student1 (I),0,0,admission_decision,html-classic.itch.zone,Admitted,2026-03-07 08:00:45.643000+00:00,True,0.3,Scene1_Day1_V2,4ec5e3f3-37fa-46f4-9cae-8169993fd3d4,1,0,1,0,0,0,0,0
B,Guy2 (A),0,21.483142852783203,report_decision,serve.gamejolt.net,,2026-03-07 23:38:21.667000+00:00,True,0.3,Scene2_Day3,7a4f7c87-7ba6-45e7-aa3e-917878889bc3,3,0,12,0,2,1,5,2
B,Student2 (I),0,0,admission_decision,html-classic.itch.zone,Denied,2026-03-07 02:40:58.976000+00:00,True,0.3,Scene1_Day3,dfeebf35-d416-4dea-beac-925188d0fae1,2,0,11,0,2,0,4,2
A,Row1Student1 (A),0,12.44394302368164,bad_behavior_clicked,html-classic.itch.zone,,2026-03-07 03:12:59.450000+00:00,False,0.3,Scene2_Day1_V2,55fd891a-cd8b-48e6-b5a3-91ae55733ee8,5,0,5,0,0,0,0,0
B,,0,0,item_clicked,html-classic.itch.zone,2_SMaterials (I),2026-03-07 02:40:35.823000+00:00,False,0.3,Scene1_Day3,dfeebf35-d416-4dea-beac-925188d0fae1,1,0,10,0,2,0,4,2
A,,0,0,item_clicked,html-classic.itch.zone,1M_EmailIconImage (A),2026-03-07 09:46:30.779000+00:00,False,0.3,Scene2_Day1_V2,578cc0f4-bf5c-4118-8b6c-15b75e6b6575,4,0,4,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,4_IncorrectIcon (I),2026-03-08 05:32:41.706000+00:00,False,0.3,Scene1_Day3,ebf15c4b-d76d-4171-9d1a-ba889be66c35,1,0,9,0,2,0,3,1
B,,0,0,scene_entered,html-classic.itch.zone,,2026-03-07 01:29:56.371000+00:00,False,0.3,Scene0_Title,7927ef72-21bc-4a6f-9079-85b20d31f2fa,0,0,0,0,0,0,0,0
A,,0,0,item_clicked,html-classic.itch.zone,2_SReviewFolder (I),2026-03-07 03:11:19.203000+00:00,False,0.3,Scene1_Day1_V2,50a17622-404e-47be-a9dc-2d0d57631f9f,1,0,1,0,0,0,0,0
A,,0,0,scene_entered,html-classic.itch.zone,,2026-03-07 04:50:23.151000+00:00,False,0.3,Scene1_Day1_V2,2cf456e3-c92a-4030-8493-27b499d65f27,0,0,0,0,0,0,0,0
